track_name,artist_name,preview,artist_genre
We Can't Stop,Miley Cyrus,./data/We Can't Stop,"['dance pop', 'pop', 'post-teen pop']"
Can't Help Myself,Nana Kofi,./data/Can't Help Myself,[]
Can't Feel My Face,The Weeknd,./data/Can't Feel My Face,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Dark Horse,Katy Perry,./data/Dark Horse,"['dance pop', 'pop', 'post-teen pop']"
Candy Pain,Riichylee,./data/Candy Pain,[]
Habits (Stay High),Tove Lo,./data/Habits (Stay High),"['art pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']"
Bad Blood,Taylor Swift,./data/Bad Blood,['pop']
Black Corridor,PETER LAKE,./data/Black Corridor,[]
Stressed Out,Twenty One Pilots,./data/Stressed Out,"['modern rock', 'rock']"
Boyfriend,Dove Cameron,./data/Boyfriend,"['pop', 'post-teen pop']"
House On Fire,Mimi Webb,./data/House On Fire,"['alt z', 'dance pop', 'gen z singer-songwriter', 'pop', 'uk pop']"
she's all i wanna be,Tate McRae,./data/she's all i wanna be,"['alt z', 'dance pop', 'pop', 'post-teen pop']"
Pray,Jessie Murph,./data/Pray,"['alt z', 'pop', 'social media pop']"
Go,Cat Burns,./data/Go,[]
Nail Tech,Jack Harlow,./data/Nail Tech,"['deep underground hip hop', 'kentucky hip hop', 'rap']"
"How Long - From""Euphoria"" An HBO Original Series",Tove Lo,"./data/How Long - From""Euphoria"" An HBO Original Series","['art pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']"
Is There Someone Else?,The Weeknd,./data/Is There Someone Else?,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Swim,Chase Atlantic,./data/Swim,['pop']
High,The Chainsmokers,./data/High,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
Numb Little Bug,Em Beihold,./data/Numb Little Bug,"['alt z', 'gen z singer-songwriter']"
ROOM FOR 2,Benson Boone,./data/ROOM FOR 2,[]
Light Switch,Charlie Puth,./data/Light Switch,"['dance pop', 'pop', 'viral pop']"
